Begin,END,xmin,ymin,xmax,ymax,Xdiff,Ydiff,EPslewrmax,Epslewfmax,Epslewrmin,Epslewfmin,Epcapfmax,Epcapfmin,Epcaprmax,Epcaprmin,Spslewfmax,Spslewfmin,Spslewrmin,Spslewrmax,arrival max,arrival min,skew,GBA,PBA
m_mFW_reg_0__270_/QN,m_mZ_reg_6__16_/D,395.568,324.72,838.584,805.32,443.016,480.6,25.9,27.3,10.9,11.1,0.429,0.381,0.429,0.383,25.8,23.7,25.5,28.1,55.319,12.319,43,1506.419,1443.119
m_mFW_reg_15__160_/QN,m_mZ_reg_9__124_/D,54.072,1132.56,815.904,737.28,761.832,-395.28,28.4,30.4,11.8,11.6,0.429,0.381,0.429,0.383,28,26.3,28.7,30.9,55.919,24.219,31.7,1505.019,1461.419
m_mFW_reg_14__132_/QN,m_mZ_reg_5__103_/D,418.248,1431.72,844.2,709.2,425.952,-722.52,29.2,31.4,10.2,10.6,0.429,0.381,0.429,0.383,27,24.9,27,29.6,49.819,17.819,32,1504.119,1429.219
m_mFW_reg_12__465_/QN,m_mZ_reg_6__103_/D,445.896,1113.12,831.024,825.84,385.128,-287.28,28.5,30.6,10.1,10.4,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,31.219,37.8,1500.219,1441.819
m_mFW_reg_17__331_/QN,m_mZ_reg_5__124_/D,317.376,1113.12,821.52,691.92,504.144,-421.2,28.5,30.8,11.9,11.5,0.429,0.381,0.429,0.383,26.6,24.5,26.5,29.1,36.119,19.819,16.3,1496.819,1453.719
m_mFW_reg_16__143_/QN,m_mZ_reg_4__122_/D,75.672,1134.72,805.752,671.4,730.08,-463.32,29.2,31.5,12,11.6,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,36.019,23.3,1499.319,1473.419
m_mFW_reg_14__132_/QN,m_mZ_reg_17__103_/D,418.248,1431.72,740.304,615.24,322.056,-816.48,35.6,37.2,11.1,11,0.429,0.381,0.429,0.383,27,24.9,27,29.6,49.819,43.519,6.3,1504.319,1457.219
m_mFW_reg_1__132_/QN,m_mZ_reg_7__16_/D,417.384,660.6,838.152,819.36,420.768,158.76,26.4,27.7,11.6,11.7,0.429,0.381,0.429,0.383,26.3,24.2,26.2,28.7,47.419,31.719,15.7,1541.518,1462.019
m_mFW_reg_13__351_/QN,m_mZ_reg_16__104_/D,483.696,1132.56,755.424,615.24,271.728,-517.32,35.7,37.2,9.8,10.2,0.429,0.381,0.429,0.383,25.5,23.6,25.4,27.7,65.819,42.719,23.1,1499.319,1470.819
m_mFW_reg_16__143_/QN,m_mZ_reg_1__122_/D,75.672,1134.72,800.784,667.08,725.112,-467.64,30.6,32.7,12.2,12.1,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,35.619,23.7,1538.1,1471.619
